Time,Instance,AvgCPUload,AvgRAM
1605183522,4,62.68,73.83
1605183523,4,57.2,73.81
1605183524,6,53.44,73.8
1605183525,3,61.72,73.83
1605183526,5,58.74,73.83
1605183527,6,58.48,73.84
1605183528,3,54.13,73.82
1605183529,5,53.02,73.8
1605183530,6,59.7,73.83
1605183531,2,60.62,73.85
1605183532,6,55.85,73.85
1605183533,5,55.49,73.85
1605183534,4,59.92,73.84
1605183535,5,58.18,73.83
1605183536,5,56.44,73.83
1605183537,4,56.1,73.82
1605183538,4,55.16,73.83
1605183539,5,57.79,73.82
1605183540,3,57.26,73.81
1605183541,5,53.68,73.81
1605183542,2,54.73,73.81
1605183543,6,54.98,73.82
1605183545,5,62.93,73.82
1605183546,6,57.59,73.82
1605183547,4,53.69,73.83
1605183548,5,50.24,73.84
1605183549,5,54.74,73.82
1605183550,4,55.66,73.82
1605183551,5,54.02,73.85
1605183552,4,52.78,73.85
1605183553,6,52.59,73.84
1605183554,6,49.83,73.85
1605183555,2,47.1,73.86
1605183556,6,55.21,73.88
1605183557,5,54.39,73.88
1605183558,5,54.51,73.88
1605183559,6,54.98,73.88
1605183560,4,51.16,73.87
1605183561,6,54.87,73.88
1605183562,6,60.35,73.87
1605183563,7,55.98,73.88
1605183565,2,55.55,73.9
1605183565,3,55.14,73.9
1605183566,3,53.46,73.91
1605183566,4,53.78,73.9
1605183567,6,57.2,73.87
1605183568,4,59.3,73.87
1605183569,3,57.18,73.87
1605183569,7,57.15,73.88
1605183571,4,56.57,73.89
1605183571,7,56.88,73.87
1605183573,3,58.04,73.87
1605183574,7,57.64,73.87
1605183575,6,57.25,73.87
1605183576,4,57.64,73.88
1605183577,5,56.02,73.87
1605183578,7,55.4,73.9
1605183579,4,57.25,73.88
1605183580,5,56.04,73.88
1605183581,5,55.42,73.88
1605183582,6,53.65,73.88
1605183583,5,53.34,73.9
1605183584,5,54.62,73.88
1605183585,6,55.19,73.88
1605183586,5,56.41,73.89
1605183587,4,56.02,73.9
1605183588,6,55.97,73.9
1605183589,5,56.43,73.93
1605183590,6,53.69,73.91
1605183591,6,53.53,73.9
1605183592,6,55.48,73.92
1605183593,5,58.48,73.93
1605183594,6,55.23,73.92
1605183595,5,57.98,73.92
1605183596,5,56.44,73.93
1605183597,5,52.33,73.93
1605183598,7,55.2,73.92
1605183599,5,52.44,73.91
1605183600,5,50.57,73.91
1605183601,7,51.97,73.91
1605183602,5,53.52,73.92
1605183603,5,54.96,73.94
1605183604,6,58.17,73.92
1605183605,5,58.29,73.91
1605183606,5,59.16,73.91
1605183607,4,57.55,73.91
1605183608,3,56.64,73.94
1605183609,7,60.7,73.93
1605183610,6,66.28,73.9
1605183611,7,62.16,73.9
1605183613,3,65.14,73.89
1605183613,5,64.21,73.9
1605183614,4,62.45,73.91
1605183615,7,59.28,73.92
1605183617,7,58.9,73.9
1605183618,5,60.51,73.91
1605183619,4,54.37,73.93
1605183620,6,54.37,73.92
1605183621,6,51.56,73.9
1605183622,4,54.11,73.91
1605183623,6,58.85,73.91
1605183624,7,53.92,73.92
1605183626,6,56.13,73.9
1605183627,4,56.77,73.93
1605183628,4,60.86,74.07
1605183628,5,64.81,74.51
1605183629,7,81.74,76.1
1605183631,5,89.62,75.33
1605183632,5,98.15,75.98
1605183633,5,100,76.85
1605183634,4,97.6,76.65
1605183635,6,93.27,76.81
1605183636,5,99.42,78.52
1605183637,5,100,78.97
1605183638,5,95.56,79.21
1605183639,4,80.58,79.34
1605183640,6,68.24,79.39
1605183641,5,66.21,79.45
1605183642,4,68.14,79.46
1605183643,5,63.94,79.48
1605183644,5,66.95,79.5
1605183645,6,67.54,79.5
1605183646,5,57.25,79.52
1605183647,5,61.45,79.5
1605183648,6,60.75,79.52
1605183649,4,58.32,79.52
1605183650,5,60.07,79.51
1605183651,5,62.34,79.49
1605183652,6,61.99,79.5
1605183653,5,60.57,79.52
1605183654,5,64.88,79.55
1605183655,5,64.24,79.55
1605183656,6,67.71,79.57
1605183657,5,68.02,79.55
1605183658,5,63.98,79.55
1605183659,5,59.3,79.57
1605183660,6,60.52,79.55
1605183661,5,61.42,79.54
1605183662,5,66.4,79.55
1605183663,4,64.99,79.55
1605183664,4,64.06,79.55
1605183664,5,62.45,79.55
1605183665,5,62.79,79.55
1605183666,6,65.69,79.55
1605183667,5,67.96,79.56
1605183668,5,65.88,79.57
1605183669,5,66.81,79.57
1605183670,6,67.56,79.55
1605183671,5,64.97,79.54
1605183672,5,67.88,79.53
1605183673,4,64.04,79.53
1605183674,5,63.71,79.56
1605183675,3,60.81,79.56
1605183675,7,61.77,79.56
1605183677,3,61.96,79.55
1605183677,3,64.82,79.52
1605183678,4,62.58,79.52
1605183679,3,66.05,79.52
1605183680,3,66,79.51
1605183680,5,65.09,79.51
1605183681,3,69.01,79.52
1605183682,6,70.23,79.53
1605183683,5,65.63,79.53
1605183684,3,62.96,79.52
1605183685,5,60.03,79.53
1605183686,6,57.97,79.55
1605183687,6,59.77,79.54
1605183688,5,61.91,79.54
1605183689,6,61.52,79.58
1605183690,6,62.28,79.56
1605183691,6,61.38,79.57
1605183692,4,63.84,79.57
1605183693,6,63.18,79.56
1605183694,7,61.38,79.55
1605183695,6,59.15,79.56
1605183696,6,56,79.57
1605183697,5,55.64,79.6
1605183698,7,57.78,79.6
1605183699,6,56.44,79.58
1605183700,5,54.96,79.57
1605183701,6,60.2,79.59
1605183702,5,62.59,79.59
1605183703,7,60.51,79.57
1605183704,5,62.28,79.58
1605183705,5,67.24,79.61
1605183706,7,66.86,79.63
1605183707,6,61.74,79.61
1605183708,5,58.67,79.6
1605183709,7,60.53,79.6
1605183710,6,64.85,79.6
1605183711,5,61.69,79.59
1605183712,8,60.01,79.6
1605183713,7,65.35,79.62
1605183715,8,65.21,79.6
1605183716,4,62.08,79.6
1605183717,5,61.89,79.6
1605183718,5,63.57,79.59
1605183719,7,67.12,79.59
1605183720,6,65,79.6
1605183721,8,62.83,79.6
1605183722,4,62.09,79.6
1605183723,4,62.04,79.59
1605183724,8,63.29,79.59
1605183725,8,63.58,79.58
1605183726,6,67.76,79.59
1605183727,5,68.48,79.6
1605183728,6,65.29,79.6
1605183729,6,63.4,79.59
1605183730,6,65.22,79.59
1605183731,7,61.63,79.59
1605183732,6,61.32,79.59
1605183733,6,63.81,79.6
1605183734,4,64.48,79.58
1605183735,4,64.31,79.57
1605183735,5,63.85,79.57
1605183736,6,61.66,79.57
1605183737,6,60.91,79.58
1605183738,6,62.46,79.59
1605183739,6,63.25,79.58
1605183740,6,65.29,79.6
1605183741,4,63.78,79.58
1605183742,5,65.94,79.59
1605183743,3,66.51,79.59
1605183743,7,65.9,79.59
1605183744,6,65.46,79.6
1605183745,4,66.01,79.6
1605183746,5,63.37,79.6
1605183747,6,64.01,79.6
1605183748,4,67.15,79.58
1605183749,7,66.08,79.58
1605183750,7,68.22,79.6
1605183751,5,70.17,79.63
1605183752,6,71.65,79.62
1605183753,5,70.39,79.6
1605183754,6,71.77,79.59
1605183755,5,72.42,79.6
1605183756,6,67.08,79.61
1605183757,4,67.32,79.62
1605183758,8,67.83,79.62
1605183759,8,65.35,79.6
1605183761,5,62.55,79.59
1605183762,6,62.22,79.59
1605183763,7,62.73,79.62
1605183764,6,71.78,80.12
1605183765,5,90.71,81.31
1605183766,5,83.4,81.86
1605183767,5,95.06,80.62
1605183768,6,99.11,81.71
1605183769,7,99.39,82.51
1605183771,5,96.84,82.44
1605183771,4,95.31,82.53
1605183772,6,98.29,83.5
1605183773,8,100,84.64
1605183774,2,100,84.77
1605183775,7,93.97,84.93
1605183776,3,71.13,85.07
1605183777,6,71.41,85.1
1605183778,5,78.05,85.13
1605183779,7,74.62,85.16
1605183781,7,74.27,85.19
1605183782,7,73.32,85.19
1605183783,3,72.13,85.19
